Num,V_cmax,V_cmax_se,J_max,J,J_se,V_TPU,V_TPU_se,R_d,R_d_se,cost,citransition1,citransition2,V_cmax_pts,J_max_pts,V_TPU_pts,alpha,alpha_g,gamma_star25,Ea_gamma_star,K_M25,Ea_K_M,g_mc25,Ea_g_mc,Oconc,theta_J,id,week,replicate,treatment
0,59.7738376,0.429516862,128.1405499,119.275631,0.043598716,1000,NA,-0.30697037,0.122103888,14.08725797,469.6577887,1074.259396,75,129,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-3,1,3,aqua
0,62.75295294,0.45225117,144.0283068,132.461443,0.062857356,1000,NA,-3.476497868,0.140700177,23.45280365,558.1171769,1054.523483,94,110,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-8,1,8,aqua
0,58.77846378,0.376424598,122.3528697,114.3656848,0.0404011,1000,NA,-0.724656391,0.103901983,11.4196157,476.4975173,1071.953223,76,127,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-13,1,13,aqua
0,56.5108002,0.404553045,113.7123412,106.9344571,0.034390191,1000,NA,1.07040629,0.106502817,9.226344371,443.736333,1073.456371,69,134,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-17,1,17,aqua
0,58.07437143,0.489453262,115.7813068,108.7246696,0.034436971,1000,NA,-0.093758161,0.128219484,9.961288877,438.2133239,1075.619995,67,136,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-19,1,19,aqua
0,63.38511519,0.540250658,133.9060533,124.1110452,0.029144207,1000,NA,-2.520622353,0.155995113,7.346712591,471.8208228,1032.648076,70,125,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-3,2,3,aqua
0,61.78519437,0.408631749,128.7520164,119.7911166,0.024243062,1000,NA,-2.174879303,0.117264778,4.808000787,472.6836672,1060.567068,68,128,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-6,2,6,aqua
0,60.98814044,0.386751908,132.9189784,123.2871984,0.041630778,1000,NA,-2.159446893,0.115938806,10.12419198,533.2410043,1031.930702,85,110,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-12,2,12,aqua
0,66.12303921,0.419041364,142.8018916,131.4593317,0.040666406,1000,NA,-0.365411816,0.120834024,10.11664852,516.4069153,1000.654861,87,108,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-19,2,19,aqua
0,35.47311448,1.581867566,65.93922548,63.87268775,0.03449314,4.30082696,0.012437324,3.819966549,0.350250035,104.9562372,410.0004008,894.9857372,94,104,34,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-4,3,4,aqua
