Num,V_cmax,V_cmax_se,J_max,J,J_se,V_TPU,V_TPU_se,R_d,R_d_se,cost,citransition1,citransition2,V_cmax_pts,J_max_pts,V_TPU_pts,alpha,alpha_g,gamma_star25,Ea_gamma_star,K_M25,Ea_K_M,g_mc25,Ea_g_mc,Oconc,theta_J,id,week,replicate,treatment
0,43.65205623,2.086201829,84.1343836,80.64250581,0.046599332,5.440836229,0.01093199,3.398097924,0.480679928,197.1325298,421.5761778,871.2688989,96,96,39,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-10,3,10,aqua
0,39.79903641,1.783817618,76.36248399,73.53135617,0.043467069,4.921142354,0.014185019,3.651764593,0.406267109,164.4455288,427.0086061,892.3227378,101,99,33,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-14,3,14,aqua
0,26.97633435,0.765500246,63.63389611,61.71834396,0.032355994,1000,NA,1.350020861,0.2711311,45.17845515,729.7391481,1012.836446,135,66,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-1,4,1,aqua
0,50.40303072,0.642826184,115.4945547,108.4769561,0.037315442,1000,NA,-2.763701822,0.205797257,28.92110629,648.6124667,918.9940358,136,65,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-12,4,12,aqua
0,46.09648539,2.502141441,94.10089522,89.64247684,0.015467857,1000,NA,0.804656119,0.71754374,62.90144712,471.7167139,1051.548337,77,125,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-4,4,4,aqua
0,43.13765459,0.831947951,93.59681685,89.19059835,0.041571657,1000,NA,-1.163144199,0.254970467,23.89478116,564.2355447,992.5831479,102,99,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-7,4,7,aqua
0,34.7272872,0.282235658,83.64975426,80.20141661,0.046186914,1000,NA,-6.123526293,0.102452952,10.36216858,784.85131,1024.228791,149,51,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-5,1,5,soil
0,37.28677917,0.347829192,85.82117438,82.17528912,0.0425384,1000,NA,-0.827580773,0.103247941,21.69796397,676.9620142,1017.06071,152,66,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-3,1,3,soil
0,45.95058977,0.245017948,87.81295743,83.98025221,0.039446507,5.75167472,0.013064656,-1.569112424,0.057012223,14.11090536,440.4477182,967.3772182,83,114,21,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-9,1,9,soil
0,16.00006117,0.384679813,42.71806841,41.89060609,0.047095026,1000,NA,-0.98262997,0.118725282,25.75846212,688.3906293,1005.027241,150,68,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-10,1,10,soil
0,30.78985631,0.374513343,71.10898167,68.68022054,0.034563681,4.741908382,0.017481901,-3.417253904,0.114259766,22.30131677,694.8455652,981.723162,140,57,21,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-20,1,20,soil
0,22.51353469,0.23254477,49.3767764,48.25630235,0.029392043,1000,NA,-2.504778995,0.076459416,4.301591209,665.1385431,995.6232893,114,81,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-2,2,2,soil
0,59.44905061,0.502620738,122.4556125,114.4533274,0.028809307,1000,NA,-1.420446016,0.142966065,6.803556794,449.2828877,1070.877648,61,134,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-4,2,4,soil
0,31.40716333,0.242266821,70.72334788,68.32274984,0.028694639,1000,NA,-2.611712365,0.080146907,4.771323397,686.5529014,1027.483835,115,80,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-7,2,7,soil
0,38.5288723,0.270563868,82.17363245,78.85597345,0.035402353,1000,NA,-3.983812714,0.081759522,6.500841216,586.0878011,1038.259396,95,101,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-9,2,9,soil
0,31.29800134,0.827531011,74.59777827,71.90572578,0.026101786,1000,NA,-0.963912005,0.263410471,197.7705215,759.0773403,1012.284487,182,55,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-15,3,15,soil
0,26.13035189,0.839666759,67.8577726,65.66065481,0.037044821,1000,NA,-0.810840139,0.272543644,240.1330218,781.3798716,989.6011227,188,50,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-16,3,16,soil
0,21.41092771,0.87693198,50.30083892,49.13585924,0.018682107,1000,NA,0.013243525,0.27299701,229.8680561,767.6135957,1001.846772,179,58,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-2,3,2,soil
0,34.36804624,0.904164137,78.44772573,75.44708999,0.033251082,1000,NA,-0.681843811,0.273450972,191.1172435,678.6446356,921.1189504,175,62,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-3,3,3,soil
0,22.1495276,0.953796358,49.81466975,48.67322466,0.01753025,1000,NA,-0.187136411,0.280939662,202.6809853,692.8751409,987.3630069,168,69,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-7,3,7,soil
0,27.28397432,0.924466625,64.87213481,62.87628523,0.021225068,1000,NA,-1.567367807,0.329827252,66.65022399,734.8865262,1021.351674,138,62,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-1,4,1,soil
0,27.91723299,0.940099874,63.50423307,61.59698567,0.027820116,1000,NA,-1.277264567,0.314603885,59.1643627,698.4023688,986.6077581,135,67,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-16,4,16,soil
0,24.16096729,0.931277406,56.02839507,54.56614817,0.021996372,1000,NA,-1.175474931,0.327792214,53.73610302,723.0576714,1033.178923,130,72,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-17,4,17,soil
0,19.97040094,0.8805604,47.22039526,46.20010361,0.017837623,1000,NA,-1.414024875,0.318539148,63.09823999,766.732593,1036.423825,142,59,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-20,4,20,soil
0,16.18492906,0.625145916,40.4261794,39.68853212,0.03128432,1000,NA,-1.359737577,0.246824148,58.92617354,922.4035887,1061.736115,170,31,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-3,4,3,soil
