Num,V_cmax,V_cmax_se,J_max,J,J_se,V_TPU,V_TPU_se,R_d,R_d_se,cost,citransition1,citransition2,V_cmax_pts,J_max_pts,V_TPU_pts,alpha,alpha_g,gamma_star25,Ea_gamma_star,K_M25,Ea_K_M,g_mc25,Ea_g_mc,Oconc,theta_J,ID
0,31.29800134,0.827531011,74.59777827,71.90572578,0.026101786,1000,NA,-0.963912005,0.263410471,197.7705215,759.0773403,1012.284487,182,55,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-15
0,26.13035189,0.839666759,67.8577726,65.66065481,0.037044821,1000,NA,-0.810840139,0.272543644,240.1330218,781.3798716,989.6011227,188,50,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-16
0,21.41092771,0.87693198,50.30083892,49.13585924,0.018682107,1000,NA,0.013243525,0.27299701,229.8680561,767.6135957,1001.846772,179,58,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-2
0,34.36804624,0.904164137,78.44772573,75.44708999,0.033251082,1000,NA,-0.681843811,0.273450972,191.1172435,678.6446356,921.1189504,175,62,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-3
0,22.1495276,0.953796358,49.81466975,48.67322466,0.01753025,1000,NA,-0.187136411,0.280939662,202.6809853,692.8751409,987.3630069,168,69,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-7
