Num,V_cmax,V_cmax_se,J_max,J,J_se,V_TPU,V_TPU_se,R_d,R_d_se,cost,citransition1,citransition2,V_cmax_pts,J_max_pts,V_TPU_pts,alpha,alpha_g,gamma_star25,Ea_gamma_star,K_M25,Ea_K_M,g_mc25,Ea_g_mc,Oconc,theta_J,ID,week,treatment,replicate
0,16.17585374,0.161882619,43.44318001,42.58613736,0.038721049,3.369491655,0.012810546,0.568181997,0.054415934,31.09473225,811.5620739,992.680753,298,65,42,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-11,1,aqua,11
0,23.81827195,0.189082581,46.71491372,45.71736682,0.045286457,3.589166284,0.012577936,3.116781618,0.043817576,21.85893365,522.5951378,811.7471966,198,98,40,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-13,1,aqua,13
0,10.80372657,0.139463962,19.87742187,19.70624497,0.020533069,1.374587097,0.010660337,0.827739671,0.036946562,6.969284807,578.5913569,1028.448936,176,139,18,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-20,1,aqua,20
0,17.89116506,0.127226954,39.35181314,38.6543579,0.068470697,1000,NA,-0.430712994,0.039967087,15.3517184,770.6263923,792.2854171,329,3,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-3,1,aqua,3
0,18.91873322,0.15786455,48.07847758,47.01893384,0.04860131,1000,NA,-1.109226624,0.049061071,17.32433437,705.731401,876.7112383,269,62,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-7,1,aqua,7
0,4.766266591,0.119263791,16.66111718,16.54161571,0.032706956,1.596815821,0.013716329,0.319136567,0.044737509,19.26417938,961.007365,1323.292166,286,116,31,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-9,1,aqua,9
0,13.48896584,0.10715497,31.8693274,31.41869237,0.029532392,1000,NA,0.910253676,0.033232942,8.840424885,740.1866229,915.4455508,275,59,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-11,2,aqua,11
0,15.33050519,0.150789884,32.59730126,32.12515794,0.02984308,1000,NA,-0.008756754,0.041790986,11.70165057,626.8113369,903.5790647,241,93,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-13,2,aqua,13
0,6.745218295,0.144029133,17.33340146,17.20388981,0.048619397,1.416158819,0.01051577,-0.042193656,0.042300337,12.60618372,666.6358839,773.6377929,234,45,55,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-15,2,aqua,15
0,8.385411456,0.14894903,22.34968648,22.13221889,0.043557123,1.817150172,0.008175696,-0.404433827,0.046711356,12.82350738,677.6104957,846.0737472,218,61,55,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-17,2,aqua,17
