Num,V_cmax,V_cmax_se,J_max,J,J_se,V_TPU,V_TPU_se,R_d,R_d_se,cost,citransition1,citransition2,V_cmax_pts,J_max_pts,V_TPU_pts,alpha,alpha_g,gamma_star25,Ea_gamma_star,K_M25,Ea_K_M,g_mc25,Ea_g_mc,Oconc,theta_J,ID,week,treatment,replicate
0,12.6800273,0.116818446,31.44026973,31.00206249,0.041706561,1000,NA,0.218966961,0.036457996,11.05687163,725.4772747,918.0853161,268,66,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-5,2,aqua,5
0,9.859391969,0.098012391,25.35308241,25.07156705,0.032765659,1.936077554,0.026173875,0.457668496,0.035574238,7.427900574,880.7353418,1045.231577,270,53,3,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-11,3,aqua,11
0,34.51622966,0.158288235,79.155276,76.09584177,0.052088492,1000,NA,0.355254159,0.047979279,16.56471573,703.1431054,845.9096062,275,52,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-18,3,aqua,18
0,18.43013679,0.146538263,37.34817082,36.72245256,0.026403908,1000,NA,2.674663335,0.03746455,9.403435503,535.3886059,1006.214324,173,153,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-19,3,aqua,19
0,4.420519002,0.088799283,11.55159609,11.49472661,0.035994479,0.765054432,0.03353566,0.62046487,0.0321659,6.874633382,873.910997,1023.999443,274,46,6,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-5,3,aqua,5
0,26.08342542,0.154916052,57.54188196,55.99482504,0.029414349,1000,NA,1.045647875,0.045560651,11.31783848,634.0426291,951.9937625,221,106,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-7,3,aqua,7
0,15.5253647,0.108215444,38.1171925,37.46443498,0.035144425,1000,NA,-2.10046083,0.039181381,8.126941231,885.8016786,1051.816938,272,54,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-14,4,aqua,14
0,35.21407088,0.239456258,82.61357137,79.25726962,0.058533089,1000,NA,-4.992314377,0.08557018,11.23162842,758.5389132,886.5403022,226,44,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-18,4,aqua,18
0,32.05285767,0.14699671,75.22248582,72.48165733,0.056773893,1000,NA,-1.612065723,0.047848349,14.64638721,777.0957502,865.7676596,291,35,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-19,4,aqua,19
0,16.90599301,0.1539487,43.09497188,42.25220461,0.03095032,1000,NA,-2.028079025,0.06165339,5.037738434,831.5069118,1007.473848,210,60,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-5,4,aqua,5
0,12.98858877,0.134557263,30.10410949,29.70342695,0.038797235,1000,NA,-2.727366245,0.055119967,4.5797745,956.7604167,1091.181547,231,39,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-7,4,aqua,7
0,8.620661031,0.117199616,22.19766175,21.98320691,0.028362476,1.765760529,0.031604944,-1.984865246,0.041548026,7.374586846,812.6738252,1045.598812,244,77,5,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-11,1,soil,11
0,6.292038893,0.154394338,12.4795461,12.4130517,0.017645316,0.967314003,0.023572222,0.546842073,0.03564159,5.640918999,458.8003408,1031.552474,133,181,12,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-15,1,soil,15
0,7.048896823,0.118412366,11.47205486,11.41597461,0.018019482,0.906228968,0.015640891,1.222788021,0.030640433,5.074888791,546.9342626,1060.373243,160,160,6,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-19,1,soil,19
0,7.279457403,0.206874965,15.86518038,15.75699392,0.023200229,1.251599576,0.010541054,0.889272423,0.041952509,8.530352994,399.5291151,829.399394,132,142,52,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-6,1,soil,6
0,4.149763302,0.075551469,8.889045343,8.85554601,0.047308683,0.449477312,0.129076645,-0.702437937,0.029621506,6.414299297,1017.695979,1121.404095,301,29,3,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-11,2,soil,11
0,6.97142197,0.172783562,15.20862972,15.1093408,0.017432807,1.035682101,0.015207469,-0.144569605,0.040158625,6.406600646,470.1508994,983.182022,143,164,27,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-14,2,soil,14
0,3.234355716,0.203532267,7.118261917,7.096854322,0.017407301,0.451859671,0.011810144,-0.024324012,0.040602503,6.080351571,377.8547605,1015.678019,104,199,31,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-15,2,soil,15
0,11.62155244,0.158765601,23.44244715,23.20267489,0.02165233,1.633325208,0.017184721,-0.506877553,0.037000555,7.711444338,467.5568433,999.2128185,147,169,18,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-18,2,soil,18
0,8.620661031,0.117199616,22.19766175,21.98320691,0.028362476,1.765760529,0.031604944,-1.984865246,0.041548026,7.374586846,812.6738252,1045.598812,244,77,5,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-11,3,soil,11
0,6.292038893,0.154394338,12.4795461,12.4130517,0.017645316,0.967314003,0.023572222,0.546842073,0.03564159,5.640918999,458.8003408,1031.552474,133,181,12,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-15,3,soil,15
0,7.048896823,0.118412366,11.47205486,11.41597461,0.018019482,0.906228968,0.015640891,1.222788021,0.030640433,5.074888791,546.9342626,1060.373243,160,160,6,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-19,3,soil,19
0,7.279457403,0.206874965,15.86518038,15.75699392,0.023200229,1.251599576,0.010541054,0.889272423,0.041952509,8.530352994,399.5291151,829.399394,132,142,52,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-6,3,soil,6
0,16.32504017,0.134910507,31.86223484,31.41180629,0.020476395,1000,NA,-0.534936276,0.034841211,6.314720692,531.1933537,1066.946436,156,170,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-11,4,soil,11
0,9.480133057,0.151750946,19.48065739,19.31637484,0.020537108,1.596618809,0.025878356,-0.626489769,0.035671572,6.74985136,466.3263844,1046.375275,133,188,5,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-15,4,soil,15
0,11.274108,0.101622644,26.73371568,26.41984438,0.037527092,2.143905278,0.018315787,-1.46306013,0.036763551,7.695928712,905.3603207,1049.622289,277,46,4,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-19,4,soil,19
0,5.474192027,0.087230632,12.52725846,12.46024836,0.031512759,1.028912721,0.027724922,-0.938193835,0.031220869,5.748087703,883.7155309,1099.320472,252,68,7,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-20,4,soil,20
0,6.630779753,0.119871905,15.15619611,15.0576008,0.041222321,1.026154319,0.056277345,-1.038523313,0.05158322,4.169118902,969.880206,1096.538981,228,39,3,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,soil-8,4,soil,8
