"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID"
0,16.1758537420027,0.161882619377629,43.4431800135039,42.586137357871,0.0387210488175849,3.36949165501478,0.0128105463966058,0.568181996836065,0.0544159337261373,31.0947322543281,811.56207385186,992.680752997886,298,65,42,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-11"
0,23.8182719545097,0.189082581364767,46.7149137240196,45.71736681524,0.0452864574677336,3.58916628438727,0.0125779361092228,3.11678161758158,0.0438175761973254,21.8589336543365,522.595137787234,811.747196578556,198,98,40,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-13"
0,10.8037265719082,0.139463961744463,19.8774218738073,19.7062449660328,0.0205330689992903,1.3745870971827,0.010660337268026,0.827739671304297,0.036946561653796,6.96928480738272,578.591356948143,1028.44893610423,176,139,18,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-20"
0,17.8911650597481,0.127226954498939,39.351813139131,38.6543579020647,0.0684706973130236,1000,NA,-0.430712994354472,0.0399670868527939,15.3517183972112,770.626392262281,792.285417126698,329,3,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-3"
0,18.9187332222805,0.157864550091713,48.0784775827892,47.0189338435083,0.0486013098775382,1000,NA,-1.10922662378043,0.049061070900803,17.3243343734542,705.731401004697,876.71123829086,269,62,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-7"
0,4.7662665907774,0.119263791375673,16.6611171771651,16.541615712203,0.0327069556202077,1.59681582118691,0.0137163290324756,0.319136566728076,0.0447375093620146,19.264179375336,961.007365034237,1323.29216631569,286,116,31,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-9"
