species,date,week,treatment,plant_id,no_punches,weight_mg,punch_diam_mm2,abs_647,abs_664
basil,9/12/2023,2,soil,4,15,44.59,4,0.256,0.718
basil,9/12/2023,2,soil,5,15,43.13,4,0.179,0.466
basil,9/12/2023,2,soil,6,13,41.33,4,0.186,0.499
basil,9/12/2023,2,soil,7,15,37.72,4,0.174,0.592
basil,9/12/2023,2,soil,8,15,42.33,4,0.262,0.722
basil,9/12/2023,2,soil,9,15,44.75,4,0.255,0.703
basil,9/12/2023,2,soil,10,15,42.44,4,0.153,0.402
basil,9/12/2023,2,soil,11,15,43.6,4,0.277,0.775
basil,9/12/2023,2,soil,12,15,36.37,4,0.208,0.584
basil,9/12/2023,2,soil,13,15,37.38,4,0.173,0.428
basil,9/12/2023,2,soil,14,15,48.98,4,0.225,0.632
basil,9/12/2023,2,soil,15,15,49.63,4,0.249,0.656
basil,9/12/2023,2,soil,16,15,37.77,4,0.221,0.587
basil,9/12/2023,2,soil,17,14,31.22,4,0.21,0.569
basil,9/12/2023,2,soil,18,14,34.4,4,0.263,0.719
basil,9/12/2023,2,soil,19,15,47.56,4,0.304,0.803
basil,9/12/2023,2,soil,20,15,51.65,4,0.298,0.869
basil,9/12/2023,2,aqua,1,15,84.36,4,0.217,0.616
basil,9/12/2023,2,aqua,2,15,83.83,4,0.2,0.582
basil,9/12/2023,2,aqua,3,15,72.84,4,0.273,0.782
basil,9/12/2023,2,aqua,4,15,57.64,4,0.198,0.582
basil,9/12/2023,2,aqua,5,15,59.17,4,0.282,0.778
basil,9/12/2023,2,aqua,6,15,69.2,4,0.332,0.965
basil,9/12/2023,2,aqua,7,15,88.77,4,0.461,1.304
basil,9/12/2023,2,aqua,8,15,82.15,4,0.262,0.756
basil,9/12/2023,2,aqua,9,15,87.18,4,0.299,0.846
basil,9/12/2023,2,aqua,10,15,81.06,4,0.26,0.745
basil,9/12/2023,2,aqua,11,15,80.69,4,0.318,0.921
basil,9/12/2023,2,aqua,12,,,4,,
basil,9/12/2023,2,aqua,13,15,95.47,4,0.292,0.824
basil,9/12/2023,2,aqua,14,11,52.18,4,0.244,0.689
basil,9/12/2023,2,aqua,15,15,61.07,4,0.38,1.084
basil,9/12/2023,2,aqua,16,,,4,,
basil,9/12/2023,2,aqua,17,15,82.73,4,0.322,0.927
basil,9/12/2023,2,aqua,18,15,79.08,4,0.44,1.223
basil,9/12/2023,2,aqua,19,15,79.41,4,0.355,1.018
basil,9/12/2023,2,aqua,20,15,91.63,4,0.321,0.87
basil,9/3/2023,1,soil,1,15,33.03,4,0.24,0.619
basil,9/3/2023,1,soil,2,15,42.92,4,0.257,0.701
basil,9/3/2023,1,soil,3,15,32.7,4,0.25,0.634
basil,9/3/2023,1,soil,4,14,32.94,4,0.254,0.697
basil,9/3/2023,1,soil,5,14,33.1,4,0.238,0.605
basil,9/3/2023,1,soil,6,16,45.87,4,0.289,0.778
basil,9/3/2023,1,soil,7,13,28.08,4,0.168,0.444
basil,9/3/2023,1,soil,8,14,37.6,4,0.235,0.637
basil,9/3/2023,1,soil,9,15,45.54,4,0.231,0.627
basil,9/3/2023,1,soil,10,15,44.34,4,0.228,0.615
basil,9/3/2023,1,soil,11,15,42.27,4,0.231,0.636
basil,9/3/2023,1,soil,12,10,,4,0.211,0.511
basil,9/3/2023,1,soil,13,15,38.22,4,0.186,0.48
basil,9/3/2023,1,soil,14,15,56.42,4,0.297,0.804
basil,9/3/2023,1,soil,15,15,47.67,4,0.309,0.832
basil,9/3/2023,1,soil,16,15,49.9,4,0.27,0.735
basil,9/3/2023,1,soil,17,15,55.13,4,0.271,0.717
basil,9/3/2023,1,soil,18,14,44.07,4,0.267,0.7
basil,9/3/2023,1,soil,19,17,54.95,4,0.33,0.914
basil,9/3/2023,1,soil,20,15,56.1,4,0.27,0.731
basil,9/3/2023,1,aqua,1,,,4,,
basil,9/3/2023,1,aqua,2,,,4,,
basil,9/3/2023,1,aqua,3,15,68.38,4,0.38,1.04
basil,9/3/2023,1,aqua,4,15,54.2,4,0.265,0.762
basil,9/3/2023,1,aqua,5,15,62.73,4,0.337,0.929
basil,9/3/2023,1,aqua,6,,,4,,
basil,9/3/2023,1,aqua,7,15,65.22,4,0.469,1.27
basil,9/3/2023,1,aqua,8,15,66.69,4,0.329,0.914
basil,9/3/2023,1,aqua,9,14,64.41,4,0.337,0.925
basil,9/3/2023,1,aqua,10,14,64.7,4,0.415,1.135
basil,9/3/2023,1,aqua,11,15,61.71,4,0.36,1.021
basil,9/3/2023,1,aqua,12,,,4,,
basil,9/3/2023,1,aqua,13,15,86.12,4,0.405,1.079
basil,9/3/2023,1,aqua,14,15,71.65,4,0.515,1.383
basil,9/3/2023,1,aqua,15,14,54.65,4,0.477,1.282
basil,9/3/2023,1,aqua,16,,,4,,
basil,9/3/2023,1,aqua,17,,,4,,
basil,9/3/2023,1,aqua,18,15,58.82,4,0.491,1.316
basil,9/3/2023,1,aqua,19,15,60.33,4,0.493,1.317
basil,9/3/2023,1,aqua,20,15,66.18,4,0.352,0.923
lettuce,2/14/2023,1,aqua,1,5,19.15,4,0.246,0.673
lettuce,2/14/2023,1,aqua,2,5,22.08,4,0.266,0.714
lettuce,2/14/2023,1,aqua,3,5,17.66,4,0.269,0.729
lettuce,2/14/2023,1,aqua,4,5,20.46,4,0.255,0.702
lettuce,2/14/2023,1,aqua,5,5,22.36,4,0.311,0.844
lettuce,2/14/2023,1,aqua,6,5,22.95,4,0.201,0.572
lettuce,2/14/2023,1,aqua,7,5,17.21,4,0.24,0.666
lettuce,2/14/2023,1,aqua,8,5,18.69,4,0.272,0.754
lettuce,2/14/2023,1,aqua,9,5,19.61,4,0.224,0.62
lettuce,2/14/2023,1,aqua,10,5,19.12,4,0.245,0.68
lettuce,2/14/2023,1,aqua,11,5,21.45,4,0.295,0.8
lettuce,2/14/2023,1,aqua,12,5,22.71,4,0.266,0.736
lettuce,2/14/2023,1,aqua,13,5,22.15,4,0.303,0.816
lettuce,2/14/2023,1,aqua,14,5,21.22,4,0.275,0.75
lettuce,2/14/2023,1,aqua,15,5,20.04,4,0.224,0.61
lettuce,2/14/2023,1,aqua,16,5,20.45,4,0.254,0.706
lettuce,2/14/2023,1,aqua,17,5,21.3,4,0.302,0.8
lettuce,2/14/2023,1,aqua,18,5,21.15,4,0.28,0.769
lettuce,2/14/2023,1,aqua,19,5,20.09,4,0.281,0.776
lettuce,2/14/2023,1,aqua,20,5,20.72,4,0.254,0.69
lettuce,2/14/2023,1,soil,1,5,18.63,4,0.029,0.104
lettuce,2/14/2023,1,soil,2,5,19.56,4,0,0.073
lettuce,2/14/2023,1,soil,3,5,19.71,4,0.017,0.09
lettuce,2/14/2023,1,soil,4,5,22.27,4,0.018,0.093
lettuce,2/14/2023,1,soil,5,5,21.16,4,0.028,0.101
lettuce,2/14/2023,1,soil,6,5,20.86,4,0.018,0.092
lettuce,2/14/2023,1,soil,7,5,22.7,4,0.015,0.09
lettuce,2/14/2023,1,soil,8,5,19.98,4,0.009,0.083
lettuce,2/14/2023,1,soil,9,5,22.52,4,0.041,0.114
lettuce,2/14/2023,1,soil,10,5,23.6,4,0.023,0.096
lettuce,2/14/2023,1,soil,11,5,22.3,4,0.012,0.085
lettuce,2/14/2023,1,soil,12,5,23.39,4,0.004,0.076
lettuce,2/14/2023,1,soil,13,5,20.81,4,0.013,0.088
lettuce,2/14/2023,1,soil,14,5,20.87,4,0.007,0.077
lettuce,2/14/2023,1,soil,15,5,21.3,4,0.014,0.088
lettuce,2/14/2023,1,soil,16,5,21.33,4,0.011,0.085
lettuce,2/14/2023,1,soil,17,5,22.17,4,0.017,0.09
lettuce,2/14/2023,1,soil,18,5,21.8,4,0.013,0.087
lettuce,2/14/2023,1,soil,19,4,16.76,4,0.024,0.101
lettuce,2/14/2023,1,soil,20,5,19.62,4,0.01,0.086
lettuce,2/21/2023,2,aqua,1,5,18.34,4,0.018,0.09
lettuce,2/21/2023,2,aqua,2,5,22.55,4,0.017,0.09
lettuce,2/21/2023,2,aqua,3,5,19.38,4,0.015,0.089
lettuce,2/21/2023,2,aqua,4,5,20.71,4,0.02,0.094
lettuce,2/21/2023,2,aqua,5,5,24.78,4,0.017,0.087
lettuce,2/21/2023,2,aqua,6,5,24.55,4,0.02,0.093
lettuce,2/21/2023,2,aqua,7,5,19.13,4,0.015,0.09
lettuce,2/21/2023,2,aqua,8,5,22.64,4,0.012,0.085
lettuce,2/21/2023,2,aqua,9,5,21.33,4,0.016,0.09
lettuce,2/21/2023,2,aqua,10,5,19.54,4,0.016,0.091
lettuce,2/21/2023,2,aqua,11,5,22.18,4,0.019,0.093
lettuce,2/21/2023,2,aqua,12,5,19.87,4,0.018,0.093
lettuce,2/21/2023,2,aqua,13,5,20.79,4,0.025,0.098
lettuce,2/21/2023,2,aqua,14,5,19.42,4,0.021,0.09
lettuce,2/21/2023,2,aqua,15,5,20.78,4,0.015,0.089
lettuce,2/21/2023,2,aqua,16,5,24.64,4,0.018,0.092
lettuce,2/21/2023,2,aqua,17,5,23.34,4,0.003,0.076
lettuce,2/21/2023,2,aqua,18,5,21.94,4,0.013,0.087
lettuce,2/21/2023,2,aqua,19,5,21.12,4,0.014,0.087
lettuce,2/21/2023,2,aqua,20,5,22.54,4,0.019,0.089
lettuce,2/21/2023,2,soil,1,5,18.15,4,0.038,0.108
lettuce,2/21/2023,2,soil,2,5,19.46,4,0.039,0.108
lettuce,2/21/2023,2,soil,3,5,21.63,4,0.031,0.102
lettuce,2/21/2023,2,soil,4,5,21.86,4,0.036,0.107
lettuce,2/21/2023,2,soil,5,5,22.18,4,0.035,0.104
lettuce,2/21/2023,2,soil,6,5,17.4,4,0.033,0.102
lettuce,2/21/2023,2,soil,7,5,20.25,4,0.029,0.1
lettuce,2/21/2023,2,soil,8,5,19.55,4,0.035,0.106
lettuce,2/21/2023,2,soil,9,5,21.54,4,0.03,0.102
lettuce,2/21/2023,2,soil,10,5,19.1,4,0.042,0.109
lettuce,2/21/2023,2,soil,11,5,19.26,4,0.039,0.11
lettuce,2/21/2023,2,soil,12,5,21.04,4,0.032,0.103
lettuce,2/21/2023,2,soil,13,5,20.42,4,0.038,0.109
lettuce,2/21/2023,2,soil,14,5,19.77,4,0.039,0.111
lettuce,2/21/2023,2,soil,15,5,20,4,0.039,0.107
lettuce,2/21/2023,2,soil,16,5,19.65,4,0.034,0.106
lettuce,2/21/2023,2,soil,17,5,20.32,4,0.036,0.107
lettuce,2/21/2023,2,soil,18,5,17.99,4,0.036,0.105
lettuce,2/21/2023,2,soil,19,5,20.39,4,0.028,0.097
lettuce,2/21/2023,2,soil,20,5,19.8,4,0.033,0.105
lettuce,2/28/2023,3,aqua,1,5,22.18,4,0.028,0.098
lettuce,2/28/2023,3,aqua,2,5,19.55,4,0.039,0.106
lettuce,2/28/2023,3,aqua,3,5,20.48,4,0.034,0.105
lettuce,2/28/2023,3,aqua,4,5,21.28,4,0.028,0.094
lettuce,2/28/2023,3,aqua,5,5,24.18,4,0.031,0.099
lettuce,2/28/2023,3,aqua,6,5,24.69,4,0.036,0.103
lettuce,2/28/2023,3,aqua,7,5,25.66,4,0.038,0.108
lettuce,2/28/2023,3,aqua,8,5,21.72,4,0.026,0.093
lettuce,2/28/2023,3,aqua,9,5,23.08,4,0.043,0.113
lettuce,2/28/2023,3,aqua,10,5,21.98,4,0.036,0.105
lettuce,2/28/2023,3,aqua,11,5,21.87,4,0.049,0.118
lettuce,2/28/2023,3,aqua,12,5,26,4,0.032,0.102
lettuce,2/28/2023,3,aqua,13,5,27.78,4,0.036,0.105
lettuce,2/28/2023,3,aqua,14,5,25.03,4,0.034,0.101
lettuce,2/28/2023,3,aqua,15,5,19.36,4,0.034,0.105
lettuce,2/28/2023,3,aqua,16,5,17.61,4,0.031,0.097
lettuce,2/28/2023,3,aqua,17,5,23.22,4,0.041,0.111
lettuce,2/28/2023,3,aqua,18,5,23.22,4,0.033,0.104
lettuce,2/28/2023,3,aqua,19,5,23.67,4,0.036,0.105
lettuce,2/28/2023,3,aqua,20,5,23.79,4,0.026,0.096
lettuce,2/28/2023,3,soil,1,5,19.06,4,0.035,0.109
lettuce,2/28/2023,3,soil,2,5,20.92,4,0.036,0.106
lettuce,2/28/2023,3,soil,3,5,21.5,4,0.031,0.104
lettuce,2/28/2023,3,soil,4,5,19.15,4,0.029,0.096
lettuce,2/28/2023,3,soil,5,5,18.11,4,0.039,0.102
lettuce,2/28/2023,3,soil,6,5,15.98,4,0.032,0.102
lettuce,2/28/2023,3,soil,7,5,17.77,4,0.031,0.103
lettuce,2/28/2023,3,soil,8,5,19.23,4,0.036,0.106
lettuce,2/28/2023,3,soil,9,5,19.75,4,0.038,0.106
lettuce,2/28/2023,3,soil,10,5,18.53,4,0.034,0.104
lettuce,2/28/2023,3,soil,11,5,16.6,4,0.044,0.113
lettuce,2/28/2023,3,soil,12,5,20.41,4,0.029,0.097
lettuce,2/28/2023,3,soil,13,5,19.24,4,0.035,0.103
lettuce,2/28/2023,3,soil,14,5,18.45,4,0.031,0.101
lettuce,2/28/2023,3,soil,15,5,18.09,4,0.038,0.105
lettuce,2/28/2023,3,soil,16,5,17.88,4,0.031,0.099
lettuce,2/28/2023,3,soil,17,5,18.37,4,0.032,0.099
lettuce,2/28/2023,3,soil,18,5,18.46,4,0.034,0.103
lettuce,2/28/2023,3,soil,19,5,22.23,4,0.032,0.104
lettuce,2/28/2023,3,soil,20,5,16.96,4,0.032,0.101
lettuce,3/7/2023,4,aqua,1,5,17.27,4,0.037,0.105
lettuce,3/7/2023,4,aqua,2,5,22.57,4,0.046,0.116
lettuce,3/7/2023,4,aqua,3,5,21.26,4,0.041,0.11
lettuce,3/7/2023,4,aqua,4,5,18.55,4,0.045,0.115
lettuce,3/7/2023,4,aqua,5,5,20.2,4,0.039,0.11
lettuce,3/7/2023,4,aqua,6,5,22.06,4,0.043,0.11
lettuce,3/7/2023,4,aqua,7,5,22.91,4,0.036,0.106
lettuce,3/7/2023,4,aqua,8,5,24.39,4,0.039,0.107
lettuce,3/7/2023,4,aqua,9,5,20.97,4,0.035,0.104
lettuce,3/7/2023,4,aqua,10,5,18.64,4,0.036,0.106
lettuce,3/7/2023,4,aqua,11,5,21.31,4,0.042,0.112
lettuce,3/7/2023,4,aqua,12,5,20.73,4,0.038,0.11
lettuce,3/7/2023,4,aqua,13,5,25.71,4,0.038,0.109
lettuce,3/7/2023,4,aqua,14,5,25.81,4,0.042,0.112
lettuce,3/7/2023,4,aqua,15,5,26.56,4,0.038,0.108
lettuce,3/7/2023,4,aqua,16,5,22.8,4,0.039,0.108
lettuce,3/7/2023,4,aqua,17,5,22.46,4,0.039,0.109
lettuce,3/7/2023,4,aqua,18,5,31.92,4,0.041,0.11
lettuce,3/7/2023,4,aqua,19,5,23.59,4,0.031,0.099
lettuce,3/7/2023,4,aqua,20,5,23.1,4,0.037,0.106
lettuce,3/7/2023,4,soil,1,5,16.9,4,0.047,0.114
lettuce,3/7/2023,4,soil,2,5,18.81,4,0.046,0.111
lettuce,3/7/2023,4,soil,3,5,23.46,4,0.046,0.113
lettuce,3/7/2023,4,soil,4,5,18.88,4,0.044,0.11
lettuce,3/7/2023,4,soil,5,5,16.98,4,0.051,0.117
lettuce,3/7/2023,4,soil,6,5,15.57,4,0.05,0.188
lettuce,3/7/2023,4,soil,7,5,17.82,4,0.042,0.109
lettuce,3/7/2023,4,soil,8,5,16.8,4,0.043,0.112
lettuce,3/7/2023,4,soil,9,5,16.8,4,0.054,0.112
lettuce,3/7/2023,4,soil,10,5,19.08,4,0.049,0.117
lettuce,3/7/2023,4,soil,11,5,16.74,4,0.041,0.109
lettuce,3/7/2023,4,soil,12,5,18.04,4,0.044,0.112
lettuce,3/7/2023,4,soil,13,5,17.69,4,0.054,0.12
lettuce,3/7/2023,4,soil,14,5,14.31,4,0.045,0.113
lettuce,3/7/2023,4,soil,15,5,16.93,4,0.049,0.115
lettuce,3/7/2023,4,soil,16,5,15.95,4,0.045,0.112
lettuce,3/7/2023,4,soil,17,5,16.89,4,0.048,0.115
lettuce,3/7/2023,4,soil,18,5,18.4,4,0.048,0.115
lettuce,3/7/2023,4,soil,19,5,16.4,4,0.052,0.117
lettuce,3/7/2023,4,soil,20,5,18.53,4,0.047,0.113
wheatgrass,1/30/2024,1,soil,1,5,14.21,4,0.277,0.861
wheatgrass,1/30/2024,1,soil,2,5,14.75,4,0.259,0.69
wheatgrass,1/30/2024,1,soil,3,5,16.04,4,0.255,0.678
wheatgrass,1/30/2024,1,soil,4,5,17,4,0.224,0.595
wheatgrass,1/30/2024,1,soil,5,5,14,4,0.132,0.346
wheatgrass,1/30/2024,1,soil,6,5,16.74,4,0.26,0.703
wheatgrass,1/30/2024,1,soil,7,5,12.95,4,0.173,0.471
wheatgrass,1/30/2024,1,soil,8,5,20.44,4,0.389,1.054
wheatgrass,1/30/2024,1,soil,9,5,15.27,4,0.215,0.575
wheatgrass,1/30/2024,1,soil,10,5,15.05,4,0.12,0.691
wheatgrass,1/30/2024,1,soil,11,5,15,4,0.259,0.663
wheatgrass,1/30/2024,1,soil,12,5,15.9,4,0.266,0.725
wheatgrass,1/30/2024,1,soil,13,5,13.2,4,0.196,0.511
wheatgrass,1/30/2024,1,soil,14,5,12.32,4,0.185,0.495
wheatgrass,1/30/2024,1,soil,15,5,12,4,0.265,0.699
wheatgrass,1/30/2024,1,soil,16,5,19.78,4,0.334,0.902
wheatgrass,1/30/2024,1,soil,17,5,13.88,4,0.228,0.607
wheatgrass,1/30/2024,1,soil,18,5,14.87,4,0.187,0.506
wheatgrass,1/30/2024,1,soil,19,5,11.47,4,0.191,0.475
wheatgrass,1/30/2024,1,soil,20,5,20.68,4,0.178,0.487
wheatgrass,1/30/2024,1,aqua,1,5,11.16,4,0.257,0.704
wheatgrass,1/30/2024,1,aqua,2,5,11.2,4,0.27,0.755
wheatgrass,1/30/2024,1,aqua,3,5,16.16,4,0.304,0.848
wheatgrass,1/30/2024,1,aqua,4,5,9.51,4,0.276,0.756
wheatgrass,1/30/2024,1,aqua,5,5,11.46,4,0.294,0.795
wheatgrass,1/30/2024,1,aqua,6,5,13.72,4,0.351,1.013
wheatgrass,1/30/2024,1,aqua,7,5,10.44,4,0.256,0.702
wheatgrass,1/30/2024,1,aqua,8,5,15.63,4,0.291,0.792
wheatgrass,1/30/2024,1,aqua,9,5,13.44,4,0.285,0.793
wheatgrass,1/30/2024,1,aqua,10,5,11.3,4,0.155,0.429
wheatgrass,1/30/2024,1,aqua,11,5,13.34,4,0.275,0.74
wheatgrass,1/30/2024,1,aqua,12,5,17,4,0.237,0.659
wheatgrass,1/30/2024,1,aqua,13,5,12.22,4,0.251,0.667
wheatgrass,1/30/2024,1,aqua,14,5,16.22,4,0.291,0.821
wheatgrass,1/30/2024,1,aqua,15,5,18.13,4,0.3,0.845
wheatgrass,1/30/2024,1,aqua,16,5,16.16,4,0.298,0.836
wheatgrass,1/30/2024,1,aqua,17,5,17.27,4,0.266,0.735
wheatgrass,1/30/2024,1,aqua,18,5,14.17,4,0.273,0.757
wheatgrass,1/30/2024,1,aqua,19,5,13.76,4,0.221,0.602
wheatgrass,1/30/2024,1,aqua,20,5,12.76,4,0.214,0.595
wheatgrass,2/6/2024,2,soil,1,5,11.31,4,0.169,0.438
wheatgrass,2/6/2024,2,soil,2,5,12.19,4,0.175,0.632
wheatgrass,2/6/2024,2,soil,3,5,14.05,4,0.26,0.706
wheatgrass,2/6/2024,2,soil,4,5,12.79,4,0.261,0.693
wheatgrass,2/6/2024,2,soil,5,5,11.86,4,0.117,0.32
wheatgrass,2/6/2024,2,soil,6,5,16.22,4,0.24,0.651
wheatgrass,2/6/2024,2,soil,7,5,12.69,4,0.12,0.321
wheatgrass,2/6/2024,2,soil,8,5,15.35,4,0.282,0.76
wheatgrass,2/6/2024,2,soil,9,5,16.95,4,0.264,0.715
wheatgrass,2/6/2024,2,soil,10,5,12.3,4,0.088,0.23
wheatgrass,2/6/2024,2,soil,11,5,11.28,4,0.138,0.366
wheatgrass,2/6/2024,2,soil,12,5,12.21,4,0.232,0.627
wheatgrass,2/6/2024,2,soil,13,5,14.36,4,0.204,0.568
wheatgrass,2/6/2024,2,soil,14,5,12.32,4,0.192,0.516
wheatgrass,2/6/2024,2,soil,15,5,17.47,4,0.272,0.751
wheatgrass,2/6/2024,2,soil,16,5,16.35,4,0.249,0.696
wheatgrass,2/6/2024,2,soil,17,5,12.83,4,0.195,0.528
wheatgrass,2/6/2024,2,soil,18,5,11.17,4,0.178,0.49
wheatgrass,2/6/2024,2,soil,19,5,8.86,4,0.172,0.48
wheatgrass,2/6/2024,2,soil,20,5,13.22,4,0.201,0.533
wheatgrass,2/6/2024,2,aqua,1,5,11.78,4,0.196,0.379
wheatgrass,2/6/2024,2,aqua,2,5,12.06,4,,
wheatgrass,2/6/2024,2,aqua,3,5,12.74,4,0.335,0.931
wheatgrass,2/6/2024,2,aqua,4,5,10.91,4,0.222,0.609
wheatgrass,2/6/2024,2,aqua,5,5,11.61,4,0.207,0.583
wheatgrass,2/6/2024,2,aqua,6,5,16.19,4,0.177,0.504
wheatgrass,2/6/2024,2,aqua,7,5,12.9,4,0.36,0.994
wheatgrass,2/6/2024,2,aqua,8,5,13.52,4,0.235,0.665
wheatgrass,2/6/2024,2,aqua,9,5,12.66,4,0.289,0.83
wheatgrass,2/6/2024,2,aqua,10,5,11.65,4,0.276,0.781
wheatgrass,2/6/2024,2,aqua,11,5,13.95,4,0.254,0.713
wheatgrass,2/6/2024,2,aqua,12,5,13.24,4,0.208,0.587
wheatgrass,2/6/2024,2,aqua,13,5,11.56,4,0.227,0.622
wheatgrass,2/6/2024,2,aqua,14,5,17.13,4,0.282,0.782
wheatgrass,2/6/2024,2,aqua,15,5,16.09,4,0.41,1.119
wheatgrass,2/6/2024,2,aqua,16,5,15.97,4,0.403,1.119
wheatgrass,2/6/2024,2,aqua,17,5,14.11,4,0.35,0.999
wheatgrass,2/6/2024,2,aqua,18,5,14.57,4,0.286,0.799
wheatgrass,2/6/2024,2,aqua,19,5,15.68,4,0.355,0.983
wheatgrass,2/6/2024,2,aqua,20,5,12.56,4,0.284,0.818
wheatgrass,2/13/2024,3,soil,1,5,12.52,4,0.251,0.689
wheatgrass,2/13/2024,3,soil,2,5,13.31,4,0.181,0.47
wheatgrass,2/13/2024,3,soil,3,5,13.18,4,0.203,0.531
wheatgrass,2/13/2024,3,soil,4,5,13.42,4,0.228,0.615
wheatgrass,2/13/2024,3,soil,5,5,12.89,4,0.173,0.493
wheatgrass,2/13/2024,3,soil,6,5,13.03,4,0.214,0.558
wheatgrass,2/13/2024,3,soil,7,5,12.55,4,0.124,0.352
wheatgrass,2/13/2024,3,soil,8,5,15.41,4,0.257,0.682
wheatgrass,2/13/2024,3,soil,9,5,14.36,4,0.237,0.648
wheatgrass,2/13/2024,3,soil,10,5,12.03,4,0.104,0.289
wheatgrass,2/13/2024,3,soil,11,5,10.93,4,0.211,0.578
wheatgrass,2/13/2024,3,soil,12,5,13.88,4,0.217,0.596
wheatgrass,2/13/2024,3,soil,13,5,11.97,4,0.201,0.57
wheatgrass,2/13/2024,3,soil,14,5,13.94,4,0.171,0.455
wheatgrass,2/13/2024,3,soil,15,5,10.02,4,0.162,0.444
wheatgrass,2/13/2024,3,soil,16,5,14.06,4,0.949,1.473
wheatgrass,2/13/2024,3,soil,17,5,12.75,4,0.187,0.517
wheatgrass,2/13/2024,3,soil,18,5,12.27,4,0.099,0.27
wheatgrass,2/13/2024,3,soil,19,5,11.18,4,0.193,0.532
wheatgrass,2/13/2024,3,soil,20,5,9.46,4,0.244,0.654
wheatgrass,2/13/2024,3,aqua,1,5,12.93,4,0.177,0.499
wheatgrass,2/13/2024,3,aqua,2,5,15.67,4,0.207,0.561
wheatgrass,2/13/2024,3,aqua,3,5,15.95,4,0.316,0.829
wheatgrass,2/13/2024,3,aqua,4,5,10.17,4,0.136,0.352
wheatgrass,2/13/2024,3,aqua,5,5,11.73,4,0.173,0.447
wheatgrass,2/13/2024,3,aqua,6,5,13.09,4,0.191,0.534
wheatgrass,2/13/2024,3,aqua,7,5,11.09,4,0.178,0.497
wheatgrass,2/13/2024,3,aqua,8,5,12.65,4,0.192,0.537
wheatgrass,2/13/2024,3,aqua,9,5,11.29,4,0.096,0.278
wheatgrass,2/13/2024,3,aqua,10,5,9.48,4,0.132,0.369
wheatgrass,2/13/2024,3,aqua,11,5,14.22,4,0.223,0.626
wheatgrass,2/13/2024,3,aqua,12,5,14.23,4,0.239,0.606
wheatgrass,2/13/2024,3,aqua,13,5,10.71,4,0.07,0.207
wheatgrass,2/13/2024,3,aqua,14,5,13.55,4,0.205,0.543
wheatgrass,2/13/2024,3,aqua,15,5,14.86,4,0.305,0.831
