species,date,week,treatment,plant_id,no_punches,weight_mg,punch_diam_mm2,abs_647,abs_664
basil,9/26/2023,4,soil,1,10,28.42,4,0.123,0.301
basil,9/26/2023,4,soil,2,10,31.96,4,0.139,0.401
basil,9/26/2023,4,soil,3,10,33.45,4,0.11,0.326
basil,9/26/2023,4,soil,4,10,31.22,4,0.15,0.422
basil,9/26/2023,4,soil,5,10,32.93,4,0.156,0.401
basil,9/26/2023,4,soil,6,15,54.39,4,0.212,0.564
basil,9/26/2023,4,soil,7,12,34.1,4,0.183,0.464
basil,9/26/2023,4,soil,8,15,46.2,4,0.235,0.642
basil,9/26/2023,4,soil,9,15,51.72,4,0.216,0.592
basil,9/26/2023,4,soil,10,15,55.55,4,0.215,0.59
basil,9/26/2023,4,soil,11,15,50.6,4,0.223,0.583
basil,9/26/2023,4,soil,12,15,53.34,4,0.163,0.409
basil,9/26/2023,4,soil,13,14,51.19,4,0.289,0.789
basil,9/26/2023,4,soil,14,15,52.61,4,0.248,0.64
basil,9/26/2023,4,soil,15,14,54.14,4,0.201,0.547
basil,9/26/2023,4,soil,16,14,42.17,4,0.186,0.472
basil,9/26/2023,4,soil,17,15,50.08,4,0.213,0.56
basil,9/26/2023,4,soil,18,15,48.35,4,0.248,0.624
basil,9/26/2023,4,soil,19,15,49.61,4,0.287,0.8
basil,9/26/2023,4,soil,20,13,50.82,4,0.22,0.598
basil,9/26/2023,4,aqua,1,10,51.59,4,0.277,0.774
basil,9/26/2023,4,aqua,2,10,30.68,4,0.144,0.321
basil,9/26/2023,4,aqua,3,10,35.6,4,0.121,0.32
basil,9/26/2023,4,aqua,4,10,31.14,4,0.088,0.263
basil,9/26/2023,4,aqua,5,10,43.78,4,0.165,0.46
basil,9/26/2023,4,aqua,6,15,54.64,4,0.206,0.623
basil,9/26/2023,4,aqua,7,15,110.04,4,0.22,0.547
basil,9/26/2023,4,aqua,8,15,67.58,4,0.118,0.321
basil,9/26/2023,4,aqua,9,13,49.05,4,0.111,0.319
basil,9/26/2023,4,aqua,10,15,87.63,4,0.209,0.581
basil,9/26/2023,4,aqua,11,15,132.68,4,0.204,0.493
basil,9/26/2023,4,aqua,12,,,4,,
basil,9/26/2023,4,aqua,13,14,72.8,4,0.293,0.786
basil,9/26/2023,4,aqua,14,15,59.39,4,0.222,0.622
basil,9/26/2023,4,aqua,15,14,46.5,4,0.158,0.45
basil,9/26/2023,4,aqua,16,15,97.67,4,0.266,0.764
basil,9/26/2023,4,aqua,17,15,95.62,4,0.352,0.912
basil,9/26/2023,4,aqua,18,15,71.36,4,0.404,1.026
basil,9/26/2023,4,aqua,19,15,66.64,4,0.281,0.694
basil,9/26/2023,4,aqua,20,15,66.33,4,0.292,0.689
basil,9/12/2023,2,soil,1,15,46.1,4,0.175,0.452
basil,9/12/2023,2,soil,2,15,47.69,4,0.212,0.578
basil,9/12/2023,2,soil,3,15,36.67,4,0.168,0.439
