species,treatment,week,replicate,date,E,A,Ca,Ci,CO2_r,gsw
wheat,soil,2,15,20240206 08:34:46,0.002009272,6.779052909,416.1766129,321.0683426,419.9680323,0.130449758
wheat,soil,2,4,20240206 08:53:08,0.003546825,11.1758449,413.6854333,324.4506922,419.9872333,0.236495669
wheat,soil,2,7,20240206 09:10:16,0.004579361,11.19179012,413.4106,352.1614807,419.9846333,0.367743205
wheat,soil,2,11,20240206 09:35:08,0.001108888,1.616340387,418.9245333,371.5645962,420.0237333,0.070584484
wheat,aqua,3,19,20240213 09:39:03,0.002003529,9.340572531,415.0063,323.5994028,420.0157,0.184323033
wheat,aqua,3,17,20240213 09:57:16,0.006827814,21.60480708,408.6751613,326.2263999,420.1041613,0.527303921
wheat,aqua,3,15,20240213 10:15:55,0.006459175,22.32159806,407.6559,309.4530291,419.9884,0.444399352
wheat,aqua,3,9,20240213 10:32:42,0.006244858,18.30967161,409.7352,325.7009951,420.0069333,0.433241622
wheat,aqua,3,7,20240213 10:51:04,0.005975176,9.483922008,413.6733667,363.3637859,420.0018,0.41273239
wheat,soil,3,18,20240213 08:10:04,0.003111072,8.067420758,411.9212667,334.9400328,415.6834333,0.201172605
wheat,soil,3,17,20240213 08:26:19,0.00370713,7.779798439,415.7596452,352.4831366,419.9535484,0.246603872
wheat,soil,3,9,20240213 08:46:43,0.001360265,8.297805859,415.612,297.8225818,420.0071935,0.122861243
wheat,soil,3,2,20240213 09:04:47,0.001525266,8.905317297,415.6130323,305.9907024,419.9925806,0.14278951
wheat,soil,3,7,20240213 09:21:49,0.003938464,12.24745118,413.4689355,351.3388885,420.0026452,0.387304199
wheat,aqua,4,3,20240220 09:41:26,0.003904575,12.62998745,412.8887667,322.2635839,419.978,0.263877231
wheat,aqua,4,8,20240220 10:00:21,0.007385936,18.73147499,409.3779032,337.0607258,419.9857742,0.535508431
wheat,aqua,4,12,20240220 10:18:10,0.003240044,13.01719603,412.8176333,301.2726863,419.9844,0.213601203
wheat,aqua,4,16,20240220 10:36:41,0.004857582,17.71786401,410.2344839,309.6761475,420.0027742,0.334228786
wheat,aqua,4,19,20240220 10:55:25,0.0038655,18.73598125,409.8655333,279.7017816,420.0071,0.262010816
wheat,soil,4,3,20240220 08:07:20,0.002142889,7.803053911,413.9747,314.5519797,418.1725667,0.142824987
wheat,soil,4,1,20240220 08:26:52,0.003710553,12.97061619,412.7554839,315.7187264,419.9528065,0.250160087
wheat,soil,4,18,20240220 08:45:07,0.003990697,10.00675646,414.2823226,341.5443724,419.9900645,0.269474264
wheat,soil,4,4,20240220 09:02:23,0.002424804,8.757464606,415.3183871,316.4465531,419.988871,0.162081971
wheat,soil,4,2,20240220 09:22:33,0.005070511,13.01550868,412.5055,339.3101866,420.0019,0.353418857
