Num,V_cmax,V_cmax_se,J_max,J,J_se,V_TPU,V_TPU_se,R_d,R_d_se,cost,citransition1,citransition2,V_cmax_pts,J_max_pts,V_TPU_pts,alpha,alpha_g,gamma_star25,Ea_gamma_star,K_M25,Ea_K_M,g_mc25,Ea_g_mc,Oconc,theta_J,id
0,61.42699368,0.511893337,130.4789174,121.2435611,0.044705728,1000,NA,-0.748940012,0.146005105,15.03371771,456.0377161,1074.127349,68,132,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-3
0,64.70078784,0.403255958,147.0908651,134.9520667,0.064869071,1000,NA,-4.049042356,0.125238721,23.20725844,539.3182744,1054.332035,86,114,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-8
0,60.22083059,0.440705038,124.4535929,116.1542075,0.041743846,1000,NA,-1.117817275,0.122737837,12.26872526,467.2047242,1071.806035,70,129,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-13
0,57.70939202,0.544391782,115.269333,108.2822971,0.03540814,1000,NA,0.772579346,0.14387806,10.42939046,434.8039036,1073.328608,64,136,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-17
0,59.40162001,0.652394423,117.5198324,110.2237364,0.035466783,1000,NA,-0.422467461,0.171590754,11.26062575,429.2549893,1075.492525,62,138,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,aqua-19
