"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID","id"
0,63.3851151940094,0.540250657839853,133.906053292032,124.111045184166,0.0291442071246573,1000,NA,-2.52062235279076,0.155995112840142,7.34671259146338,471.82082277569,1032.64807567976,70,125,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-12","aqua-3"
0,61.7851943670074,0.408631748832152,128.752016414509,119.791116550736,0.0242430616051465,1000,NA,-2.17487930292668,0.117264778326302,4.80800078735823,472.683667165899,1060.56706844777,68,128,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-19","aqua-6"
0,60.9881404371436,0.386751907572809,132.918978360369,123.287198400856,0.0416307781815529,1000,NA,-2.15944689302019,0.115938805858243,10.1241919770274,533.24100434478,1031.93070178567,85,110,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-3","aqua-12"
0,66.1230392102036,0.419041363879959,142.801891634554,131.459331656597,0.0406664061964697,1000,NA,-0.36541181634076,0.120834024438205,10.1166485160632,516.40691526764,1000.65486141014,87,108,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-6","aqua-19"
