"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID","id"
0,34.7272872004728,0.282235657664623,83.6497542624487,80.2014166123899,0.0461869136372799,1000,NA,-6.12352629309093,0.102452952356937,10.3621685801568,784.851309993631,1024.22879116749,149,51,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-10","soil-5"
0,40.6650310073229,0.245854636649166,91.5347901633154,87.338382607138,0.0430917513868957,1000,NA,-1.95830678945808,0.0758989405720748,7.74504171267664,656.366922900711,1016.68187919063,129,71,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-20","soil-3"
0,49.0118246550541,0.421588155110454,92.1175989053459,87.8624975292703,0.0405799241228793,6.02265581379509,0.0124327085316127,-2.3869824934682,0.107279776229337,15.0268499606275,431.449234738155,967.494061348904,63,116,21,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-3","soil-9"
0,20.0292544928726,0.297641338371437,49.8050827627577,48.6640986736133,0.0393608378099486,1000,NA,-2.35320654724387,0.101287657362031,10.2823273751071,736.93197161768,1004.33971246162,143,57,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-5","soil-10"
0,34.2581748855303,0.277179465088267,77.2124331110494,74.3128931292129,0.0357805701523485,5.14685966773344,0.0180496977740565,-4.63581000876458,0.0881722733074637,10.7668876609309,668.824170609369,981.873735706468,117,62,21,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-9","soil-20"
