"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID"
0,73.4819075470646,0.41216371935361,158.546474170011,144.115602064046,0.0245043360927192,1000,NA,-8.66796620653779,0.103304272808266,23.7392558076241,478.426301105526,1037.20639690717,157,171,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-17"
0,57.4382858066285,0.20500982823681,125.743829180052,117.249033706004,0.0351774328621027,1000,NA,-6.46645257983506,0.0573310950661517,14.8314615364733,545.842025850588,1043.602749392,162,151,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-18"
0,62.7302830946881,0.235209131736668,135.898955096101,125.769250433439,0.0358518903988026,1000,NA,-2.41520194842347,0.0605709793657703,20.2322031527305,518.489278139242,970.983502248687,175,153,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-2"
0,66.8277600060715,0.319074814945689,128.994565040872,119.995418950836,0.0747821189914103,1000,NA,-2.18574245894569,0.0833054778763517,65.84019659629,537.776456471515,1065.36492600075,174,154,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-7"
0,57.1406685026303,0.348228663076985,136.734557897181,126.462487227803,0.0608063984255239,1000,NA,-3.18283637043214,0.102588096104867,60.0640172194418,650.105215610899,1016.99360874225,218,110,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-9"
