"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID"
0,94.5077839718494,0.263296639067218,206.844867318424,179.89298020006,0.0544635726160789,1000,NA,-0.715363066905158,0.0608356912007993,37.0904830743206,444.347419495421,940.559675546516,158,167,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-15"
0,99.1840400975257,0.35931999942766,225.667881750672,192.489099401242,0.0658561479753023,1000,NA,-1.24059549678112,0.0866316790088264,55.3337670409659,468.250453684004,888.645674555606,169,156,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-17"
0,57.4903226485141,0.399575265219796,134.774124956511,124.834171236345,0.0305794108214277,1000,NA,-3.87699702627511,0.118056010963046,60.4761465403865,628.377289930414,906.684639515184,227,97,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-19"
0,43.8323272326538,0.2329855334585,91.3518789521175,87.1737932922662,0.0441065606277144,1000,NA,0.279666852583829,0.0590798039263899,26.1083516307083,504.249201518926,969.41276961067,163,162,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-7"
0,79.2451027455205,0.297277643808115,174.955152986739,156.804450167556,0.0730716872544961,1000,NA,-0.2818920645268,0.0734954931489639,60.7436701119065,481.748135610166,962.074543119052,165,159,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"aqua-9"
