"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID"
0,62.2006952813682,0.20061644993697,126.126801456945,117.573531758991,0.0326000642483004,1000,NA,-3.27867581889836,0.0467897669662623,16.4725972365496,460.673268153858,1022.21740815317,158,181,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-1"
0,51.7321723498438,0.213934673563218,115.667570151786,108.626436439612,0.045063678688479,1000,NA,0.0305567498295676,0.058981184919913,23.3571154890493,605.875001850173,872.180575024228,230,100,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-12"
0,60.3895633791848,0.199417385287174,114.094097747149,107.265290188304,0.0295415833169944,1000,NA,-0.52374032353427,0.0463770770124306,13.5037335680743,465.836835508317,946.840712166387,168,162,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-13"
0,42.5452045654799,0.167017319669421,91.8036465035301,87.5802201379266,0.030602073887372,1000,NA,-0.828592990994998,0.0449451637487398,12.8275912324269,556.637270121234,972.867286474984,193,138,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-20"
0,78.906131807102,0.240877777963386,168.67516627877,152.01048881503,0.0298364304117601,1000,NA,-1.2327896309801,0.0570036778958651,16.5297806427514,475.067541680159,925.608521333953,179,151,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"soil-9"
